;Códigodo fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
10;GSFI11;Shoppings;R$ 4,50;5086.0;R$ 0,00;0,03%;0,03%;0,03%;0,03%;0,01%;0,00%;0,00%;0,03%;0,00%;0,03%;0,03%;R$ 1.001.230.351,68;R$ 13,31;34.0;;;;;10,30%;;10
11;NEWU11;Lajes Corporativas;R$ 34,84;29.0;R$ 0,00;0,00%;0,00%;0,56%;16,63%;0,00%;0,09%;1,39%;0,61%;-4,04%;-4,04%;-31,62%;R$ 48.010.260,81;R$ 64,70;54.0;;;;;63,20%;;3
12;PRSV11;Lajes Corporativas;R$ 113,00;1.0;R$ 1,62;0,42%;1,53%;2,91%;5,95%;0,51%;0,48%;0,50%;4,46%;5,30%;5,74%;-11,25%;R$ 47.475.350,20;R$ 243,46;46.0;;;;;40,90%;;2
13;FAMB11B;Lajes Corporativas;R$ 798,00;13.0;R$ 9,16;0,56%;2,17%;4,78%;10,43%;0,72%;0,80%;0,87%;8,82%;-47,80%;-47,51%;-47,80%;R$ 322.048.422,38;R$ 3.072,98;26.0;;;;;100,00%;;1
14;FMOF11;Lajes Corporativas;R$ 62,01;34.0;R$ 0,64;;;;;;;;;;;;R$ 62.318.640,77;R$ 122,67;51.0;;;;;52,08%;;1
15;HGRS11;Residencial;;;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 151.091.806,51;R$ 101,20;;;;;;;;0
16;KNRE11;Residencial;R$ 0,95;1451.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;R$ 21.319.344,49;R$ 1,15;83.0;;;;;;;0
17;RBDS11;Residencial;R$ 3,71;1.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;R$ 2.801.649,45;R$ 22,14;17.0;;;;;;;0
18;WTSP11B;Híbrido;R$ 35,06;22.0;R$ 0,32;0,76%;2,57%;4,67%;6,85%;0,86%;0,78%;0,57%;0,76%;0,00%;0,76%;0,76%;R$ 81.474.663,30;R$ 82,08;43.0;;;;;;;0
19;OULG11;Outros;R$ 42,30;650.0;R$ 0,17;0,38%;1,14%;3,40%;8,03%;0,38%;0,57%;0,67%;1,50%;3,09%;3,48%;-3,91%;R$ 180.654.620,72;R$ 72,81;58.0;;;;;0,00%;;2
20;VXXV11;Outros;R$ 910,00;5495.0;R$ 10,76;;;;;;;;;;;;R$ 215.180.987,40;R$ 814,46;112.0;;;;;;;0
21;BICE11;Títulos e Val. Mob.;R$ 1.000,00;24.0;R$ 5,40;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 20.825.253,17;R$ 988,34;101.0;;;;;;;0
22;HRDF11;Híbrido;R$ 1,09;1302.0;R$ 6,80;;;;;;;;;;;;R$ 8.696.803,65;R$ 1,15;95.0;;;;;;;0
23;CJCT11;Lajes Corporativas;R$ 81,90;273.0;R$ 0,00;;;;;;;;;;;;R$ 185.924.372,71;R$ 64,78;126.0;;;;;59,00%;;1
24;LFTT11;Residencial;R$ 94,00;61.0;R$ 0,75;;;;;;;;;;;;R$ 387.300.227,89;R$ 53,02;177.0;6,92%;-12,09%;-6,00%;-69,33%;;;0
25;HCRI11;Hospital;R$ 240,00;209.0;R$ 2,49;0,88%;2,36%;4,77%;9,33%;0,79%;0,80%;0,78%;1,62%;-18,08%;-17,35%;-16,74%;R$ 51.810.193,32;R$ 259,05;93.0;;;;;0,00%;;1
26;DRIT11B;Lajes Corporativas;R$ 85,89;1.0;R$ 0,33;0,28%;0,80%;0,00%;0,00%;0,27%;0,00%;0,00%;1,28%;5,78%;6,07%;-7,42%;R$ 58.069.142,62;R$ 125,34;69.0;;;;;10,47%;;6
27;CTXT11;Lajes Corporativas;R$ 12,55;67.0;R$ 0,09;0,39%;0,78%;1,36%;5,53%;0,26%;0,23%;0,46%;1,36%;-2,58%;-2,20%;-39,31%;R$ 116.560.622,53;R$ 40,15;31.0;;;;;97,00%;;1
28;GESE11B;Outros;R$ 1.520,00;300.0;R$ 12,60;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 86.540.717,02;R$ 1.664,24;91.0;;;;;;;0
29;SRVD11;Títulos e Val. Mob.;R$ 7,10;47.0;R$ 0,10;1,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,01%;0,00%;1,01%;1,01%;R$ 71.733.167,06;R$ 0,75;953.0;;;;;;;0
30;RBIR11;Residencial;R$ 67,99;395.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;R$ 146.657.061,56;R$ 95,94;71.0;;;;;;;0
31;CARE11;Híbrido;R$ 4,03;16203.0;R$ 0,00;0,23%;0,66%;1,36%;1,60%;0,22%;0,23%;0,13%;1,36%;-2,63%;-2,41%;5,65%;R$ 293.084.042,50;R$ 8,19;49.0;;;;;;;0
32;CXAG11;Outros;R$ 78,95;910.0;R$ 0,75;0,96%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,90%;0,65%;1,62%;6,33%;R$ 239.969.301,40;R$ 114,78;69.0;;;;;;;0
33;VJFD11;Híbrido;;;R$ 0,86;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 646.731.025,31;R$ 132,63;;;;;;;;0
34;RBGS11;Shoppings;R$ 28,45;5157.0;R$ 0,18;0,62%;1,59%;2,73%;5,12%;0,53%;0,46%;0,43%;5,12%;-1,90%;-1,29%;-28,71%;R$ 97.865.283,71;R$ 90,78;31.0;0,18%;0,00%;0,18%;1,17%;13,00%;;1
35;YUFI11B;Residencial;;;R$ 0,60;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 41.706.771,81;R$ 105,55;;0,48%;2,41%;2,90%;5,70%;;;0
36;BPML11;Shoppings;R$ 62,06;47.0;R$ 0,15;0,23%;0,95%;2,59%;0,00%;0,32%;0,43%;0,00%;1,49%;-7,36%;-7,14%;1,82%;R$ 540.961.727,13;R$ 125,66;49.0;;;;;5,80%;;7
37;TORD11;Outros;R$ 8,12;123246.0;R$ 0,17;1,94%;3,98%;6,33%;12,27%;1,33%;1,06%;1,02%;6,33%;-6,41%;-4,59%;-3,33%;R$ 494.592.924,55;R$ 14,11;58.0;;;;;;;0
38;EVBI11;Híbrido;R$ 98,86;156.0;R$ 0,75;0,77%;2,28%;4,69%;9,08%;0,76%;0,78%;0,76%;4,69%;-1,00%;-0,24%;10,29%;R$ 139.260.195,05;R$ 99,63;99.0;;;;;0,00%;;4
39;BBPO11;Lajes Corporativas;R$ 89,13;17326.0;R$ 0,92;1,16%;3,33%;6,35%;11,76%;1,11%;1,06%;0,98%;7,30%;-1,06%;0,09%;-9,02%;R$ 1.593.557.059,28;R$ 100,10;89.0;0,92%;-0,01%;0,91%;11,39%;0,00%;0,00%;64
40;EDFO11B;Lajes Corporativas;R$ 193,53;12.0;R$ 1,68;0,88%;2,44%;4,56%;8,36%;0,81%;0,76%;0,70%;5,21%;-5,48%;-4,65%;-6,92%;R$ 45.703.432,14;R$ 193,66;100.0;0,87%;0,94%;1,82%;5,04%;7,10%;;1
41;VOTS11;Títulos e Val. Mob.;R$ 87,94;17.0;R$ 1,15;1,28%;4,21%;8,26%;13,11%;1,40%;1,38%;1,09%;9,30%;0,11%;1,39%;17,43%;R$ 78.264.582,86;R$ 94,53;93.0;1,22%;-0,67%;0,54%;5,28%;;;0
42;BBIM11;Títulos e Val. Mob.;;;R$ 0,18;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 44.788.663,66;R$ 43,27;;0,42%;-12,56%;-12,20%;-5,73%;;;0
43;RBHY11;Títulos e Val. Mob.;R$ 97,00;1207.0;R$ 1,45;1,47%;4,48%;8,35%;16,32%;1,49%;1,39%;1,36%;9,42%;-0,68%;0,79%;5,08%;R$ 183.783.821,03;R$ 97,06;100.0;1,49%;-0,72%;0,76%;9,58%;;;0
44;KNIP11;Títulos e Val. Mob.;R$ 93,64;67853.0;R$ 1,04;1,07%;4,21%;8,25%;16,08%;1,40%;1,37%;1,34%;9,55%;-4,25%;-3,22%;2,44%;R$ 7.610.256.433,21;R$ 94,80;99.0;1,10%;-1,35%;-0,27%;7,21%;;;0
45;KNHY11;Títulos e Val. Mob.;R$ 98,12;17203.0;R$ 1,16;1,18%;4,08%;7,81%;15,33%;1,36%;1,30%;1,28%;9,03%;-5,72%;-4,61%;0,36%;R$ 1.785.396.476,42;R$ 96,56;102.0;1,20%;-0,81%;0,38%;7,72%;;;0
46;KNRI11;Híbrido;R$ 152,34;17235.0;R$ 0,91;0,67%;1,94%;3,76%;7,20%;0,65%;0,63%;0,60%;4,37%;3,44%;4,13%;7,27%;R$ 3.860.148.592,90;R$ 159,79;95.0;0,57%;0,01%;0,58%;5,22%;2,00%;6,72%;20
47;KINP11;Residencial;R$ 13,90;6465.0;R$ 0,27;2,04%;7,29%;13,22%;0,00%;2,43%;2,20%;0,00%;11,87%;0,00%;2,04%;2,81%;R$ 42.851.422,47;R$ 5,99;232.0;4,43%;-6,81%;-2,68%;10,06%;;;0
48;VCJR11;Títulos e Val. Mob.;R$ 92,60;11496.0;R$ 1,00;1,07%;4,14%;7,91%;15,83%;1,38%;1,32%;1,32%;9,18%;-8,03%;-7,04%;4,14%;R$ 1.377.026.269,06;R$ 93,52;99.0;1,07%;-0,62%;0,44%;8,95%;;;0
49;JGPX11;Híbrido;R$ 98,88;979.0;R$ 0,98;0,99%;3,43%;7,01%;0,00%;1,14%;1,17%;0,00%;8,09%;-0,20%;0,79%;10,18%;R$ 81.070.456,27;R$ 95,59;103.0;1,03%;-0,28%;0,74%;7,82%;;;0
50;BARI11;Títulos e Val. Mob.;R$ 99,17;14278.0;R$ 1,40;1,40%;4,32%;7,73%;14,54%;1,44%;1,29%;1,21%;8,78%;-0,65%;0,73%;4,36%;R$ 473.301.722,34;R$ 102,13;97.0;1,37%;-0,21%;1,16%;6,66%;;;0
51;HGRU11;Híbrido;R$ 124,60;28237.0;R$ 0,82;0,69%;2,39%;4,51%;8,38%;0,80%;0,75%;0,70%;5,17%;0,60%;1,29%;9,50%;R$ 2.176.483.482,74;R$ 118,25;105.0;0,69%;-0,01%;0,68%;4,73%;0,00%;0,00%;17
52;ARRI11;Títulos e Val. Mob.;R$ 9,19;35457.0;R$ 1,31;1,43%;4,11%;8,05%;16,20%;1,37%;1,34%;1,35%;9,36%;-5,53%;-4,18%;-0,02%;R$ 108.835.561,27;R$ 92,37;10.0;1,42%;-1,26%;0,14%;7,14%;;;0
53;JSAF11;Títulos e Val. Mob.;R$ 85,00;15931.0;R$ 0,93;1,16%;3,40%;6,70%;0,00%;1,13%;1,12%;0,00%;7,79%;-2,22%;-1,08%;4,54%;R$ 151.169.267,42;R$ 96,10;88.0;0,97%;0,31%;1,28%;5,29%;;;0
54;XPSF11;Outros;R$ 7,72;68984.0;R$ 0,07;0,99%;2,94%;5,73%;10,95%;0,98%;0,96%;0,91%;6,55%;1,27%;2,27%;-90,34%;R$ 368.560.312,64;R$ 8,51;91.0;0,83%;-0,02%;0,81%;-89,80%;;;0
55;JSRE11;Híbrido;R$ 84,14;25001.0;R$ 0,49;0,65%;1,92%;3,91%;8,01%;0,64%;0,65%;0,67%;4,58%;-0,32%;0,33%;-0,54%;R$ 2.356.969.687,19;R$ 113,49;74.0;0,43%;-0,09%;0,34%;2,63%;14,80%;13,40%;5
56;ITIT11;Títulos e Val. Mob.;R$ 71,69;543.0;R$ 0,62;0,87%;2,36%;4,70%;8,81%;0,79%;0,78%;0,73%;5,43%;-1,31%;-0,44%;3,63%;R$ 69.574.525,62;R$ 77,26;93.0;0,80%;0,50%;1,30%;0,89%;;;0
57;ITIP11;Títulos e Val. Mob.;R$ 80,61;567.0;R$ 1,02;1,26%;3,73%;7,24%;13,85%;1,24%;1,21%;1,15%;8,48%;-3,24%;-2,02%;8,23%;R$ 64.144.364,89;R$ 85,74;94.0;1,19%;-1,30%;-0,13%;4,46%;;;0
58;HOSI11;Híbrido;R$ 65,81;57.0;R$ 0,56;0,85%;1,68%;3,17%;6,98%;0,56%;0,53%;0,58%;3,68%;-5,01%;-4,20%;-6,21%;R$ 52.936.715,00;R$ 92,31;71.0;0,61%;-0,08%;0,53%;2,41%;;;2
59;CACR11;Híbrido;R$ 101,69;2595.0;R$ 1,52;1,56%;3,17%;7,26%;14,94%;1,06%;1,21%;1,24%;8,65%;-6,48%;-5,02%;-0,88%;R$ 186.160.308,80;R$ 103,00;99.0;1,48%;-0,50%;0,97%;31,17%;;;0
60;BPFF11;Títulos e Val. Mob.;R$ 68,75;3927.0;R$ 0,75;1,14%;3,54%;6,40%;11,54%;1,18%;1,07%;0,96%;7,28%;3,12%;4,29%;3,06%;R$ 341.048.446,43;R$ 75,92;91.0;0,99%;-0,99%;-0,02%;1,94%;;;0
61;LUGG11;Residencial;R$ 78,70;2269.0;R$ 0,56;0,70%;2,06%;4,19%;7,70%;0,69%;0,70%;0,64%;4,80%;-2,32%;-1,63%;-3,20%;R$ 115.057.914,84;R$ 127,84;62.0;0,44%;-0,04%;0,40%;5,60%;2,40%;;4
62;URPR11;Outros;R$ 103,88;25038.0;R$ 1,20;1,10%;4,56%;9,09%;18,27%;1,52%;1,51%;1,52%;10,44%;-2,71%;-1,64%;0,46%;R$ 989.467.692,31;R$ 100,37;103.0;1,20%;0,58%;1,79%;18,04%;;;0
63;HGIC11;Títulos e Val. Mob.;R$ 108,00;8.0;R$ 1,01;0,95%;2,90%;5,75%;11,44%;0,97%;0,96%;0,95%;6,68%;-5,15%;-4,25%;6,58%;R$ 34.174.234,59;R$ 118,50;91.0;0,85%;3,26%;4,14%;17,08%;;;0
64;SPVJ11;Outros;;;R$ 0,68;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 677.158.890,81;R$ 107,28;;0,63%;-0,14%;0,50%;4,07%;;;0
65;SPTW11;Lajes Corporativas;R$ 42,65;3066.0;R$ 0,40;0,96%;2,81%;5,51%;12,28%;0,94%;0,92%;1,02%;6,40%;-3,38%;-2,44%;-2,39%;R$ 95.270.420,26;R$ 52,99;80.0;0,75%;0,07%;0,83%;5,09%;0,00%;;1
66;PATL11;Híbrido;R$ 78,70;10708.0;R$ 0,58;0,79%;2,30%;4,56%;9,41%;0,77%;0,76%;0,78%;5,33%;-5,48%;-4,73%;1,88%;R$ 488.059.611,03;R$ 97,78;80.0;0,59%;-0,09%;0,50%;4,01%;0,00%;0,00%;4
67;QAMI11;Híbrido;R$ 87,79;93.0;R$ 1,00;1,14%;4,22%;7,87%;16,30%;1,41%;1,31%;1,36%;9,15%;-4,46%;-3,37%;-2,77%;R$ 73.835.103,76;R$ 92,13;95.0;1,09%;-0,88%;0,19%;9,23%;;;0
68;PLCR11;Híbrido;R$ 85,41;5516.0;R$ 1,19;1,44%;4,11%;7,74%;14,30%;1,37%;1,29%;1,19%;8,93%;-2,64%;-1,25%;2,31%;R$ 194.176.239,76;R$ 92,06;93.0;1,29%;-0,88%;0,41%;6,72%;;;0
69;JFLL11;Residencial;R$ 74,40;1271.0;R$ 0,62;0,93%;2,71%;5,16%;10,11%;0,90%;0,86%;0,84%;5,95%;-4,35%;-3,45%;-10,32%;R$ 150.564.588,39;R$ 100,34;74.0;0,62%;0,03%;0,65%;4,66%;28,00%;;2
70;STRX11;Híbrido;;;R$ 0,75;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 226.966.752,93;R$ 140,66;;0,53%;0,01%;0,54%;3,56%;;;0
71;RBRS11;Híbrido;R$ 66,00;1.0;R$ 0,41;0,72%;2,53%;4,60%;8,30%;0,84%;0,77%;0,69%;5,22%;-1,93%;-1,22%;-11,25%;R$ 147.033.252,03;R$ 90,79;73.0;0,45%;-1,44%;-1,00%;-0,14%;;;0
72;RNGO11;Lajes Corporativas;R$ 52,85;3381.0;R$ 0,40;0,87%;2,64%;4,88%;8,73%;0,88%;0,81%;0,73%;5,57%;-0,13%;0,73%;-4,27%;R$ 234.662.553,74;R$ 87,69;60.0;0,46%;0,11%;0,56%;3,34%;24,10%;;3
73;RZAG11;Títulos e Val. Mob.;R$ 10,25;94935.0;R$ 0,14;1,33%;3,88%;7,25%;0,00%;1,29%;1,21%;0,00%;8,37%;0,99%;2,33%;12,43%;R$ 289.108.319,33;R$ 9,53;108.0;1,42%;0,01%;1,43%;9,01%;;;0
74;XPCM11;Lajes Corporativas;R$ 14,81;8887.0;R$ 0,12;0,88%;3,04%;6,04%;10,76%;1,01%;1,01%;0,90%;6,83%;-9,33%;-8,53%;-23,91%;R$ 127.310.569,38;R$ 52,73;28.0;0,23%;-0,47%;-0,25%;-1,55%;100,00%;;1
75;XPHT11;Hotel;R$ 112,00;10.0;R$ 0,54;0,49%;1,21%;1,99%;4,55%;0,40%;0,33%;0,38%;1,31%;2,09%;2,59%;13,65%;R$ 357.911.232,04;R$ 94,07;119.0;0,57%;0,01%;0,58%;1,57%;64,90%;;5
76;LVBI11;Logística;R$ 107,50;17027.0;R$ 0,74;0,75%;2,23%;4,40%;8,54%;0,74%;0,73%;0,71%;4,40%;-0,02%;0,73%;4,14%;R$ 1.360.439.203,91;R$ 115,53;93.0;0,64%;0,63%;1,28%;2,48%;0,50%;0,00%;10
77;NSLU11;Hospital;R$ 158,00;4876.0;R$ 0,46;0,30%;1,73%;4,40%;9,10%;0,58%;0,73%;0,76%;1,06%;0,00%;0,30%;1,06%;R$ 238.028.433,66;R$ 207,92;76.0;;;;;0,00%;;1
78;PVBI11;Lajes Corporativas;R$ 95,47;23980.0;R$ 0,56;0,61%;1,81%;3,64%;7,41%;0,60%;0,61%;0,62%;3,64%;-0,41%;0,20%;7,24%;R$ 996.236.330,26;R$ 99,23;96.0;0,56%;0,10%;0,66%;1,65%;0,10%;;4
79;PQDP11;Shoppings;R$ 2.163,00;23.0;R$ 14,24;0,72%;2,12%;4,44%;8,35%;0,71%;0,74%;0,70%;4,44%;-0,98%;-0,26%;1,92%;R$ 815.397.327,57;R$ 3.321,20;65.0;0,43%;-1,05%;-0,63%;0,27%;3,60%;;1
80;VVPR11;Híbrido;R$ 99,44;5.0;R$ 0,85;0,86%;2,45%;4,95%;9,56%;0,82%;0,83%;0,80%;4,95%;1,94%;2,81%;11,28%;R$ 238.445.073,76;R$ 103,41;96.0;0,74%;0,02%;0,76%;1,53%;0,00%;;6
81;FIIB11;Híbrido;R$ 482,05;379.0;R$ 3,50;0,78%;2,32%;4,49%;8,86%;0,77%;0,75%;0,74%;4,49%;5,65%;6,47%;1,66%;R$ 312.880.251,65;R$ 456,76;106.0;;;;;6,28%;;1
82;BBRC11;Outros;R$ 103,40;567.0;R$ 0,99;1,01%;2,99%;5,86%;11,09%;1,00%;0,98%;0,92%;6,75%;-2,29%;-1,31%;4,50%;R$ 169.963.038,66;R$ 106,89;97.0;0,93%;0,10%;1,03%;5,61%;5,37%;1,08%;20
83;RBVO11;Outros;R$ 10,73;305.0;R$ 0,03;0,27%;0,72%;1,75%;3,86%;0,24%;0,29%;0,32%;2,12%;-2,81%;-2,54%;-8,00%;R$ 8.932.917,24;R$ 17,32;62.0;0,17%;-19,74%;-19,61%;-23,15%;;;0
84;MFII11;Híbrido;R$ 97,91;2052.0;R$ 1,10;1,17%;3,45%;6,74%;13,27%;1,15%;1,12%;1,11%;7,81%;-1,26%;-0,11%;-7,90%;R$ 416.830.531,97;R$ 100,52;97.0;1,09%;0,39%;1,49%;-0,44%;;;9
85;MFAI11;Híbrido;R$ 64,17;450.0;R$ 0,51;0,83%;2,26%;5,81%;11,73%;0,75%;0,97%;0,98%;7,11%;-4,65%;-3,86%;-12,28%;R$ 22.677.027,07;R$ 73,33;88.0;0,70%;3,46%;4,18%;-5,64%;;;0
86;RBHG11;Títulos e Val. Mob.;R$ 87,95;3464.0;R$ 1,30;1,50%;4,60%;8,37%;15,66%;1,53%;1,40%;1,31%;9,44%;-0,62%;0,87%;7,26%;R$ 164.896.924,63;R$ 95,45;92.0;1,36%;-0,81%;0,54%;7,94%;;;0
87;RMAI11;Lajes Corporativas;R$ 45,97;102.0;R$ 0,26;0,73%;2,29%;4,44%;5,52%;0,76%;0,74%;0,46%;5,52%;6,32%;7,10%;-6,24%;R$ 264.765.842,12;R$ 108,34;42.0;0,24%;-0,10%;0,14%;1,37%;23,44%;;1
88;KNCR11;Títulos e Val. Mob.;R$ 102,65;92759.0;R$ 1,15;1,12%;3,21%;5,97%;9,92%;1,07%;0,99%;0,83%;6,79%;0,52%;1,65%;9,76%;R$ 4.447.594.100,11;R$ 101,40;101.0;1,13%;0,31%;1,45%;7,48%;;;0
89;KNSC11;Títulos e Val. Mob.;R$ 86,30;79910.0;R$ 0,91;1,00%;3,59%;7,00%;14,86%;1,20%;1,17%;1,24%;8,26%;-3,01%;-2,04%;-0,42%;R$ 1.171.973.199,00;R$ 88,28;98.0;1,03%;-0,52%;0,51%;6,56%;;;0
90;KNCA11;Títulos e Val. Mob.;R$ 106,85;16053.0;R$ 1,21;1,14%;3,63%;0,00%;0,00%;1,21%;0,00%;0,00%;6,85%;-1,05%;0,07%;3,39%;R$ 817.507.414,14;R$ 100,93;106.0;1,20%;0,00%;1,20%;6,84%;;;0
91;BCIA11;Títulos e Val. Mob.;R$ 90,33;28847.0;R$ 0,74;0,89%;2,67%;5,14%;9,64%;0,89%;0,86%;0,80%;5,88%;-0,27%;0,63%;1,23%;R$ 381.232.837,73;R$ 102,51;88.0;0,72%;-0,57%;0,15%;3,09%;;;0
92;HSML11;Shoppings;R$ 90,15;36352.0;R$ 0,65;0,84%;2,44%;4,71%;8,75%;0,81%;0,78%;0,73%;5,43%;-0,26%;0,58%;7,76%;R$ 1.560.544.208,08;R$ 98,89;91.0;0,66%;0,00%;0,66%;3,00%;4,50%;;6
93;KISU11;Títulos e Val. Mob.;R$ 8,15;96004.0;R$ 0,07;0,89%;3,20%;5,75%;10,42%;1,07%;0,96%;0,87%;6,55%;3,41%;4,33%;3,46%;R$ 389.895.395,95;R$ 8,82;92.0;0,79%;0,01%;0,80%;-0,77%;;;0
94;HUSC11;Outros;R$ 102,99;145.0;R$ 0,99;0,96%;2,94%;4,92%;8,24%;0,98%;0,82%;0,69%;5,27%;0,49%;1,45%;-3,28%;R$ 113.457.138,03;R$ 142,78;72.0;0,69%;-0,11%;0,58%;2,66%;;;0
95;RBFF11;Títulos e Val. Mob.;R$ 59,85;6988.0;R$ 0,50;0,88%;2,85%;5,61%;10,59%;0,95%;0,94%;0,88%;6,46%;6,60%;7,55%;8,76%;R$ 238.008.867,55;R$ 63,48;94.0;0,79%;-0,33%;0,46%;2,43%;;;0
96;HPDP11;Shoppings;R$ 87,30;27.0;R$ 0,45;0,55%;1,63%;3,27%;6,28%;0,54%;0,55%;0,52%;3,81%;-0,64%;-0,10%;1,93%;R$ 276.087.778,59;R$ 94,91;92.0;0,47%;-0,14%;0,34%;3,52%;2,00%;;1
97;VISC11;Shoppings;R$ 109,79;22363.0;R$ 0,71;0,70%;2,09%;4,14%;7,96%;0,70%;0,69%;0,66%;4,82%;-0,11%;0,59%;5,32%;R$ 2.030.121.088,07;R$ 114,72;96.0;0,62%;-0,11%;0,51%;3,03%;8,30%;;15
98;HFOF11;Títulos e Val. Mob.;R$ 75,40;13486.0;R$ 0,62;0,89%;2,57%;4,94%;9,31%;0,86%;0,82%;0,78%;5,70%;-1,03%;-0,14%;-7,17%;R$ 1.890.308.886,98;R$ 82,19;92.0;0,75%;0,05%;0,80%;2,04%;;;0
99;HAAA11;Lajes Corporativas;R$ 88,04;14.0;R$ 0,54;0,60%;1,85%;3,55%;6,94%;0,62%;0,59%;0,58%;4,11%;-4,27%;-3,69%;-2,14%;R$ 310.890.883,83;R$ 89,98;98.0;0,60%;-0,32%;0,28%;-1,05%;17,00%;;1
